variables,units,values,description
blade.internal_structure_2d_fem.layer_width,m,"[[0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.8
  0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.8
  0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.8
  0.7536   0.7059   0.6587   0.611    0.5383   0.3419  ]
 [0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.8
  0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.8
  0.8      0.8      0.8      0.8      0.8      0.8      0.8      0.7855
  0.7453   0.7019   0.6571   0.6099   0.5246   0.331   ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.3      1.7      0.3      0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.3      1.7      0.3      0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094
  0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094
  0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094   0.3094
  0.3094   0.3094   0.2801   0.2223   0.1635   0.1035  ]
 [0.576    0.57745  0.581    0.58365  0.58685  0.58985  0.59945  0.60525
  0.61195  0.61385  0.6119   0.60915  0.6066   0.6063   0.60745  0.6106
  0.61615  0.57865  0.53735  0.4965   0.444505 0.41675  0.37725  0.33625
  0.27445  0.2347   0.1947   0.1541   0.113    0.0713  ]
 [0.576    0.57745  0.581    0.58365  0.58685  0.58985  0.59945  0.60525
  0.61195  0.61385  0.6119   0.60915  0.6066   0.6063   0.60745  0.6106
  0.61615  0.57865  0.53735  0.4965   0.444505 0.41675  0.37725  0.33625
  0.27445  0.2347   0.1947   0.1541   0.113    0.0713  ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]
 [0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.      ]]","2D array of the width along the outer profile of a layer. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.ps.layer_thickness_param,m,"[[0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001
  0.001      0.001      0.001      0.001      0.001      0.001     ]
 [0.041      0.033      0.026      0.02       0.015      0.011
  0.00828454 0.00651243 0.00536208 0.00470248 0.00440263 0.00433155
  0.00435823 0.00435168 0.00430703 0.0042194  0.00408392 0.00389572
  0.00364992 0.00334165 0.00286074 0.00257936 0.00214615 0.00169212
  0.00122768 0.001      0.001      0.001      0.001      0.001     ]
 [0.         0.01036386 0.01802123 0.02536166 0.03206819 0.03782389
  0.04231181 0.045215   0.04621651 0.04569527 0.04403017 0.04160014
  0.03878408 0.03596091 0.03350953 0.03135807 0.02943466 0.02766741
  0.02598444 0.02431388 0.02204998 0.02080428 0.01898505 0.01713608
  0.0152673  0.0133886  0.0115099  0.0096312  0.0077525  0.00587381]
 [0.         0.01247806 0.01761157 0.02274509 0.02766418 0.03215441
  0.03600136 0.0389906  0.04090771 0.04153826 0.04110173 0.03981761
  0.0379054  0.03558457 0.03307463 0.03059505 0.02815655 0.02576987
  0.02344572 0.02119482 0.01840623 0.01695567 0.01496235 0.01303217
  0.01114933 0.00929806 0.00746257 0.00562708 0.00379159 0.00195611]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.001      0.05       0.001      0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.         0.         0.         0.         0.
  0.         0.001      0.05       0.001      0.         0.
  0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.00665003 0.00814812 0.00964621 0.0111443
  0.01260256 0.01398116 0.01524026 0.01634003 0.01724065 0.01790228
  0.01832761 0.01851932 0.01848012 0.01821267 0.01771968 0.01700382
  0.01610578 0.01506624 0.0135657  0.01272533 0.01150532 0.01030652
  0.00912537 0.00795837 0.00680196 0.00565261 0.0045068  0.003361  ]
 [0.         0.         0.02334323 0.02514806 0.0269529  0.02875774
  0.03056258 0.03236741 0.03399538 0.0352696  0.03601321 0.03604932
  0.03520108 0.0332916  0.03059387 0.02738085 0.02392552 0.02050085
  0.01737982 0.0148354  0.01226764 0.01109198 0.00970078 0.00850179
  0.0073989  0.006296   0.00519311 0.00409022 0.00298732 0.        ]
 [0.         0.         0.02334323 0.02514806 0.0269529  0.02875774
  0.03056258 0.03236741 0.03399538 0.0352696  0.03601321 0.03604932
  0.03520108 0.0332916  0.03059387 0.02738085 0.02392552 0.02050085
  0.01737982 0.0148354  0.01226764 0.01109198 0.00970078 0.00850179
  0.0073989  0.006296   0.00519311 0.00409022 0.00298732 0.        ]
 [0.         0.         0.01864022 0.02290439 0.02716855 0.03128208
  0.03509432 0.03845464 0.04121238 0.04321692 0.0443176  0.04463178
  0.04427681 0.04337004 0.04202882 0.04037051 0.03851246 0.03646388
  0.03423398 0.03183196 0.02845147 0.02654845 0.02368537 0.02070189
  0.01762209 0.01447005 0.01126986 0.00804558 0.00482131 0.00159703]
 [0.         0.         0.01067832 0.01302775 0.01537718 0.0177266
  0.02007603 0.02234366 0.02444771 0.02630638 0.02783787 0.0289604
  0.02959217 0.02979168 0.02961743 0.02912793 0.02838168 0.02743718
  0.02635293 0.02511064 0.02320806 0.0220788  0.02025266 0.01819533
  0.01588852 0.0133738  0.01069276 0.00788698 0.00499804 0.00206752]
 [0.         0.         0.01171413 0.01476495 0.01781576 0.02086658
  0.02391739 0.02696821 0.03001902 0.03295299 0.03565325 0.03800297
  0.03988528 0.04118335 0.04178032 0.04172736 0.04107568 0.03987644
  0.03818083 0.03604003 0.03264628 0.03064208 0.02751627 0.02419345
  0.02073929 0.01721947 0.01369965 0.01017983 0.00666001 0.00314019]
 [0.         0.         0.03598738 0.04397734 0.05196731 0.05963021
  0.066639   0.07266661 0.07738598 0.08047006 0.08159179 0.08099669
  0.07893026 0.07563804 0.07136553 0.06635826 0.06086173 0.05503573
  0.04904003 0.04303439 0.03551474 0.03163241 0.02655561 0.02186997
  0.01749725 0.01335922 0.00937765 0.00547432 0.00157099 0.001     ]
 [0.041      0.033      0.026      0.02       0.01531562 0.01261405
  0.01008929 0.00782972 0.00592376 0.00445981 0.00352627 0.00301625
  0.00282289 0.00283929 0.0029586  0.00307391 0.00307837 0.00299303
  0.00283898 0.00263728 0.00233888 0.00217523 0.00195702 0.00175179
  0.00155694 0.00136987 0.00118799 0.00100871 0.001      0.001     ]
 [0.         0.         0.         0.00216423 0.00221016 0.00225609
  0.00230203 0.00234796 0.00238579 0.0024074  0.0024047  0.00236957
  0.00229392 0.00216963 0.00201292 0.00184    0.00166708 0.00151037
  0.00138608 0.00131043 0.00127449 0.0012726  0.00129421 0.00133204
  0.00137797 0.00142391 0.00146984 0.00151577 0.0015617  0.        ]
 [0.         0.         0.         0.03748906 0.03611723 0.03474541
  0.0333631  0.03195982 0.0305251  0.02904844 0.02751938 0.02592742
  0.02433745 0.02281437 0.02142306 0.02022841 0.01929532 0.01868866
  0.01834679 0.01820803 0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.        ]
 [0.         0.         0.         0.00207236 0.0021183  0.00216423
  0.00221016 0.00225609 0.00230203 0.00234796 0.00238579 0.0024074
  0.0024047  0.00236957 0.00229392 0.00216963 0.00201292 0.00184
  0.00166708 0.00151037 0.00136338 0.00131043 0.0012753  0.0012726
  0.00129421 0.00133204 0.00137797 0.00142391 0.00146984 0.        ]
 [0.         0.         0.         0.0025176  0.00244513 0.00237266
  0.00230019 0.00222772 0.00215449 0.00207974 0.00200272 0.00192266
  0.0018388  0.00175038 0.00166147 0.0015761  0.00149834 0.00143223
  0.00138184 0.0013512  0.00133674 0.00133604 0.00134493 0.00136041
  0.00137918 0.00139795 0.00141672 0.00143549 0.00145426 0.        ]
 [0.         0.         0.         0.03770661 0.03634612 0.03498563
  0.03361392 0.03221976 0.03079194 0.02931923 0.02779041 0.02619427
  0.02459556 0.02305903 0.02164945 0.02043157 0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.02
  0.02       0.02       0.02       0.02       0.02       0.        ]
 [0.         0.         0.         0.00266254 0.00259007 0.0025176
  0.00244513 0.00237266 0.00230019 0.00222772 0.00215449 0.00207974
  0.00200272 0.00192266 0.0018388  0.00175038 0.00166147 0.0015761
  0.00149834 0.00143223 0.00137265 0.0013512  0.00133703 0.00133604
  0.00134493 0.00136041 0.00137918 0.00139795 0.00141672 0.        ]]","2D array of the thickness of the layers of the blade structure after the parametrization. The first dimension represents each layer, the second dimension represents each entry along blade span."
blade.fatigue.sparU_sigma_ult,Pa,[1.2852e+09],
blade.fatigue.sparU_wohlerA,Pa,[1.2852e+09],
blade.fatigue.sparU_wohlerexp,,[16.1],
blade.fatigue.sparL_sigma_ult,Pa,[1.2852e+09],
blade.fatigue.sparL_wohlerA,Pa,[1.2852e+09],
blade.fatigue.sparL_wohlerexp,,[16.1],
blade.fatigue.teU_sigma_ult,Pa,[6.4023e+08],
blade.fatigue.teU_wohlerA,Pa,[6.4023e+08],
blade.fatigue.teU_wohlerexp,,[10.],
blade.fatigue.teL_sigma_ult,Pa,[6.4023e+08],
blade.fatigue.teL_wohlerA,Pa,[6.4023e+08],
blade.fatigue.teL_wohlerexp,,[10.],
nacelle.uptilt,rad,[0.06981317],Nacelle uptilt angle. A standard machine has positive values.
nacelle.distance_tt_hub,m,[3.],Vertical distance from tower top plane to hub flange
nacelle.overhang,m,[7.],Horizontal distance from tower top edge to hub flange
nacelle.gearbox_efficiency,,[0.95],Efficiency of the gearbox. Set to 1.0 for direct-drive
nacelle.gearbox_mass_user,kg,[0.],User override of gearbox mass.
nacelle.gearbox_radius_user,m,[0.],User override of gearbox radius (only used if gearbox_mass_user is > 0).
nacelle.gearbox_length_user,m,[0.],User override of gearbox length (only used if gearbox_mass_user is > 0).
nacelle.gear_ratio,,[96.76],Total gear ratio of drivetrain (use 1.0 for direct)
nacelle.distance_hub2mb,m,[2.],Distance from hub flange to first main bearing along shaft
nacelle.distance_mb2mb,m,[1.],Distance from first to second main bearing along shaft
nacelle.L_generator,m,[2.],Generator length along shaft
nacelle.lss_diameter,m,[0.577 0.577],Diameter of low speed shaft
nacelle.lss_wall_thickness,m,[0.288 0.288],Thickness of low speed shaft
nacelle.damping_ratio,,[0.005],Damping ratio for the drivetrain system
nacelle.brake_mass_user,kg,[0.],Override regular regression-based calculation of brake mass with this value
nacelle.hvac_mass_coeff,kg/kW/m,[0.08],Regression-based scaling coefficient on machine rating to get HVAC system mass
nacelle.converter_mass_user,kg,[0.],Override regular regression-based calculation of converter mass with this value
nacelle.transformer_mass_user,kg,[0.],Override regular regression-based calculation of transformer mass with this value
nacelle.hss_length,m,[1.5],Length of high speed shaft
nacelle.hss_diameter,m,[0.288 0.288],Diameter of high speed shaft
nacelle.hss_wall_thickness,m,[0.144 0.144],Wall thickness of high speed shaft
nacelle.bedplate_flange_width,m,[1.],Bedplate I-beam flange width
nacelle.bedplate_flange_thickness,m,[0.05],Bedplate I-beam flange thickness
nacelle.bedplate_web_thickness,m,[0.05],Bedplate I-beam web thickness
nacelle.mb1Type,Unavailable,CARB,Type of main bearing: CARB / CRB / SRB / TRB
nacelle.mb2Type,Unavailable,SRB,Type of main bearing: CARB / CRB / SRB / TRB
nacelle.uptower,Unavailable,True,If power electronics are located uptower (True) or at tower base (False)
nacelle.lss_material,Unavailable,steel,Material name identifier for the low speed shaft
nacelle.hss_material,Unavailable,steel,Material name identifier for the high speed shaft
nacelle.bedplate_material,Unavailable,steel,Material name identifier for the bedplate
nacelle.gear_configuration,Unavailable,eep,3-letter string of Es or Ps to denote epicyclic or parallel gear configuration
nacelle.planet_numbers,Unavailable,"[3, 3, 1]",Number of planets for epicyclic stages (use 0 for parallel)
generator.generator_radius_user,m,[0.],
generator.generator_mass_user,kg,[0.],
generator.generator_efficiency_user,,"[[0.         0.95      ]
 [0.05263158 0.95      ]
 [0.10526316 0.95      ]
 [0.15789474 0.95      ]
 [0.21052632 0.95      ]
 [0.26315789 0.95      ]
 [0.31578947 0.95      ]
 [0.36842105 0.95      ]
 [0.42105263 0.95      ]
 [0.47368421 0.95      ]
 [0.52631579 0.95      ]
 [0.57894737 0.95      ]
 [0.63157895 0.95      ]
 [0.68421053 0.95      ]
 [0.73684211 0.95      ]
 [0.78947368 0.95      ]
 [0.84210526 0.95      ]
 [0.89473684 0.95      ]
 [0.94736842 0.95      ]
 [1.         0.95      ]]",
tower.ref_axis,m,"[[  0.    0.    0. ]
 [  0.    0.   13.7]
 [  0.    0.   27.4]
 [  0.    0.   41.1]
 [  0.    0.   54.8]
 [  0.    0.   68.5]
 [  0.    0.   82.2]
 [  0.    0.   95.9]
 [  0.    0.  109.6]
 [  0.    0.  123.3]
 [  0.    0.  137. ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
tower.diameter,m,"[6.         6.         6.         6.         6.         6.
 6.         6.         6.         5.89079213 5.53032592]",1D array of the outer diameter values defined along the tower axis.
tower.cd,,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1D array of the drag coefficients defined along the tower height.
tower.layer_thickness,m,"[[0.06515525 0.05866464 0.05197538 0.04607753 0.04094533 0.03582223
  0.03074005 0.02575014 0.02129438 0.01803766 0.01803766]]","2D array of the thickness of the layers of the tower structure. The first dimension represents each layer, the second dimension represents each piecewise-constant entry of the tower sections."
tower.outfitting_factor,,[1.07],Multiplier that accounts for secondary structure mass inside of tower
tower.layer_name,Unavailable,['tower_wall'],1D array of the names of the layers modeled in the tower structure.
tower.layer_mat,Unavailable,['steel'],1D array of the names of the materials of each layer modeled in the tower structure.
env.rho_air,kg/m**3,[1.225],Density of air
env.mu_air,kg/m/s,[1.81e-05],Dynamic viscosity of air
env.shear_exp,,[0.2],Shear exponent of the wind.
env.speed_sound_air,m/s,[340.],Speed of sound in air.
env.weibull_k,,[2.],Shape parameter of the Weibull probability density function of the wind.
env.rho_water,kg/m**3,[1025.],Density of ocean water
env.mu_water,kg/m/s,[0.0013351],Dynamic viscosity of ocean water
env.water_depth,m,[0.],Water depth for analysis.  Values > 0 mean offshore
env.Hsig_wave,m,[0.],Significant wave height
env.Tsig_wave,s,[0.],Significant wave period
env.G_soil,N/m**2,[1.4e+08],Shear stress of soil
env.nu_soil,,[0.4],Poisson ratio of soil
costs.offset_tcc_per_kW,USD/kW,[0.],Offset to turbine capital cost
costs.bos_per_kW,USD/kW,[441.],Balance of station/plant capital cost
costs.opex_per_kW,USD/kW/year,[43.],Average annual operational expenditures of the turbine
costs.wake_loss_factor,,[0.15],The losses in AEP due to waked conditions
costs.fixed_charge_rate,,[0.0578],Fixed charge rate for coe calculation
costs.labor_rate,USD/h,[58.8],
costs.painting_rate,USD/m**2,[30.],
costs.blade_mass_cost_coeff,USD/kg,[14.6],
costs.hub_mass_cost_coeff,USD/kg,[3.9],
costs.pitch_system_mass_cost_coeff,USD/kg,[22.1],
costs.spinner_mass_cost_coeff,USD/kg,[11.1],
costs.lss_mass_cost_coeff,USD/kg,[11.9],
costs.bearing_mass_cost_coeff,USD/kg,[4.5],
costs.gearbox_mass_cost_coeff,USD/kg,[12.9],
costs.hss_mass_cost_coeff,USD/kg,[6.8],
costs.generator_mass_cost_coeff,USD/kg,[12.4],
costs.bedplate_mass_cost_coeff,USD/kg,[2.9],
costs.yaw_mass_cost_coeff,USD/kg,[8.3],
costs.converter_mass_cost_coeff,USD/kg,[18.8],
costs.transformer_mass_cost_coeff,USD/kg,[18.8],
costs.hvac_mass_cost_coeff,USD/kg,[124.],
costs.cover_mass_cost_coeff,USD/kg,[5.7],
costs.elec_connec_machine_rating_cost_coeff,USD/kW,[41.85],
costs.platforms_mass_cost_coeff,USD/kg,[17.1],
costs.tower_mass_cost_coeff,USD/kg,[2.9],
costs.controls_machine_rating_cost_coeff,USD/kW,[21.15],
costs.crane_cost,USD,[12000.],
costs.electricity_price,USD/kW/h,[0.04],
costs.reserve_margin_price,USD/kW/year,[120.],
costs.capacity_credit,,[0.],
costs.benchmark_price,USD/kW/h,[0.071],
costs.turbine_number,Unavailable,120,Number of turbines at plant
high_level_tower_props.tower_ref_axis,m,"[[  0.    0.    0. ]
 [  0.    0.   13.7]
 [  0.    0.   27.4]
 [  0.    0.   41.1]
 [  0.    0.   54.8]
 [  0.    0.   68.5]
 [  0.    0.   82.2]
 [  0.    0.   95.9]
 [  0.    0.  109.6]
 [  0.    0.  123.3]
 [  0.    0.  137. ]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.hub_height,m,[140.],"Height of the hub in the global reference system, i.e. distance rotor center to ground."
af_3d.cl_corrected,,"[[[[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  ...

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.00226138  0.00226138  0.00226138]]

  [[ 0.00452276  0.00452276  0.00452276]]

  ...

  [[-0.00452276 -0.00452276 -0.00452276]]

  [[-0.00226138 -0.00226138 -0.00226138]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.02249114  0.02249114  0.02249114]]

  [[ 0.04498229  0.04498229  0.04498229]]

  ...

  [[-0.04498229 -0.04498229 -0.04498229]]

  [[-0.02249114 -0.02249114 -0.02249114]]

  [[ 0.          0.          0.        ]]]


 ...


 [[[ 0.          0.          0.        ]]

  [[ 0.18189122  0.18189122  0.18189122]]

  [[ 0.36378244  0.36378244  0.36378244]]

  ...

  [[-0.36378244 -0.36378244 -0.36378244]]

  [[-0.18189122 -0.18189122 -0.18189122]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.18677596  0.18677596  0.18677596]]

  [[ 0.37355192  0.37355192  0.37355192]]

  ...

  [[-0.37355192 -0.37355192 -0.37355192]]

  [[-0.18677596 -0.18677596 -0.18677596]]

  [[ 0.          0.          0.        ]]]


 [[[ 0.          0.          0.        ]]

  [[ 0.20244966  0.20244966  0.20244966]]

  [[ 0.40489932  0.40489932  0.40489932]]

  ...

  [[-0.40489932 -0.40489932 -0.40489932]]

  [[-0.20244966 -0.20244966 -0.20244966]]

  [[ 0.          0.          0.        ]]]]",Lift coefficient corrected with CCBlade.Polar.
af_3d.cd_corrected,,"[[[[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  ...

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]

  [[0.5        0.5        0.5       ]]]


 [[[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  ...

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]

  [[0.48317224 0.48317224 0.48317224]]]


 [[[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  ...

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]

  [[0.34328947 0.34328947 0.34328947]]]


 ...


 [[[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  ...

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]]


 [[[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  ...

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]]


 [[[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  ...

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]

  [[0.001      0.001      0.001     ]]]]",Drag coefficient corrected with CCBlade.Polar.
af_3d.cm_corrected,,"[[[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  ...

  [[-2.77555756e-17 -2.77555756e-17 -2.77555756e-17]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.77966092e-03  3.77966092e-03  3.77966092e-03]]

  [[ 7.55932184e-03  7.55932184e-03  7.55932184e-03]]

  ...

  [[-9.13529113e-03 -9.13529113e-03 -9.13529113e-03]]

  [[-4.56764557e-03 -4.56764557e-03 -4.56764557e-03]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 3.51557992e-02  3.51557992e-02  3.51557992e-02]]

  [[ 7.03115984e-02  7.03115984e-02  7.03115984e-02]]

  ...

  [[-8.49630101e-02 -8.49630101e-02 -8.49630101e-02]]

  [[-4.24815051e-02 -4.24815051e-02 -4.24815051e-02]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 ...


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]


 [[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]

  [[ 1.20000000e-01  1.20000000e-01  1.20000000e-01]]

  [[ 2.40000000e-01  2.40000000e-01  2.40000000e-01]]

  ...

  [[-3.00000000e-01 -3.00000000e-01 -3.00000000e-01]]

  [[-1.50000000e-01 -1.50000000e-01 -1.50000000e-01]]

  [[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]]]]",Moment coefficient corrected with CCblade.Polar.
tower_grid.s,,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],"1D array of the non-dimensional grid defined along the tower axis (0-tower base, 1-tower top)"
tower_grid.height,m,[137.],Scalar of the tower height computed along the z axis.
tower_grid.length,m,[137.],Scalar of the tower length computed along its curved axis. A standard straight tower will be as high as long.
tower_grid.foundation_height,m,[0.],Foundation height in respect to the ground level.
rotorse.ccblade.CP,,[0.45092496],Rotor power coefficient
rotorse.ccblade.CM,,[0.16530394],Blade flapwise moment coefficient
rotorse.ccblade.local_airfoil_velocities,m/s,"[ 8.47186435  9.89021886 11.94297579 14.3856693  17.09306883 19.94076974
 22.84899068 25.74448899 28.70296596 31.73073294 34.77630351 37.84653003
 40.93331123 44.03502423 48.68905708 50.24264038 53.35391906 56.47260842
 59.59514679 62.72145647 65.85091815 68.98044916 72.10826437 75.23589543
 78.36796188 81.50717685 84.64666736 87.78494854 89.50765052 93.11820344]",Local relative velocities for the airfoils
rotorse.ccblade.P,W,[0.],Rotor aerodynamic power
rotorse.ccblade.T,N*m,[0.],Rotor aerodynamic thrust
rotorse.ccblade.Q,N*m,[0.],Rotor aerodynamic torque
rotorse.ccblade.M,N*m,[0.],Blade root flapwise moment
rotorse.ccblade.a,,"[0.10726932 0.05284844 0.06866721 0.08681733 0.12775111 0.15418458
 0.13561779 0.23764867 0.28870756 0.29529407 0.30219972 0.30352716
 0.30004968 0.28978781 0.28919756 0.29014839 0.29268954 0.29019935
 0.28576281 0.28156849 0.27122629 0.26560375 0.26654469 0.26987496
 0.26911642 0.25631827 0.24266698 0.2347721  0.23350894 0.29141098]",Axial induction  along blade span
rotorse.ccblade.ap,,"[-0.10726932 -0.04861824  0.00439445  0.01498352  0.02691589  0.02724857
  0.01832084  0.02319026  0.02106844  0.01741762  0.01455505  0.01227363
  0.01041341  0.00884865  0.00723733  0.00681505  0.0060884   0.00542911
  0.00486074  0.00438319  0.00389936  0.00352428  0.00325398  0.00302185
  0.00280186  0.00253292  0.00227578  0.00208158  0.00198541  0.00207249]",Tangential induction along blade span
